id;license_id;key_instance_id;validity;date_begin;date_end;extensions_number
1;81328;32240;44328;2020-07-03;2020-07-03;72666
2;47478;61801;1535;2020-07-03;2020-07-02;51059
3;60965;20182;95199;2020-07-03;2020-07-03;34124
4;4274;83334;64337;2020-07-03;2020-07-02;96984
5;61361;4200;14371;2020-07-03;2020-07-02;45489
6;79051;461;56973;2020-07-02;2020-07-02;10145
7;89339;16021;41310;2020-07-02;2020-07-02;88666
8;11041;84368;93645;2020-07-02;2020-07-02;2991
9;70240;10923;91368;2020-07-03;2020-07-02;66877
10;95124;65344;71791;2020-07-02;2020-07-03;72329
